통계명 : 장래인구 출  처 : 통계청 2000~2012, 단위 : 천명,,,,,,,,,,,,,
대륙,국가,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 
아시아,네팔,24401 ,24980 ,25563 ,26144 ,26718 ,27282 ,27834 ,28374 ,28905 ,29433 ,29959 ,30486 ,31011 
아시아,오만,2264 ,2279 ,2303 ,2336 ,2378 ,2430 ,2491 ,2561 ,2637 ,2712 ,2782 ,2846 ,2904 
아시아,파키스탄,144522 ,147558 ,150407 ,153140 ,155860 ,158645 ,161513 ,164446 ,167442 ,170494 ,173593 ,176745 ,179951 
아시아,팔레스타인,3199 ,3285 ,3356 ,3419 ,3483 ,3556 ,3638 ,3728 ,3827 ,3931 ,4039 ,4152 ,4271 
아시아,필리핀,77310 ,78964 ,80630 ,82294 ,83937 ,85546 ,87116 ,88653 ,90173 ,91703 ,93261 ,94852 ,96471 
아시아,카타르,591 ,608 ,624 ,654 ,715 ,821 ,978 ,1178 ,1396 ,1598 ,1759 ,1870 ,1939 
아시아,사우디아라비아,20045 ,20682 ,21463 ,22334 ,23214 ,24041 ,24799 ,25504 ,26167 ,26809 ,27448 ,28083 ,28705 
아시아,싱가포르,3919 ,3981 ,4032 ,4086 ,4160 ,4266 ,4410 ,4585 ,4772 ,4946 ,5086 ,5188 ,5256 
아시아,스리랑카,18745 ,18922 ,19134 ,19370 ,19611 ,19843 ,20062 ,20272 ,20474 ,20669 ,20860 ,21045 ,21224 
아시아,시리아,15989 ,16455 ,16963 ,17490 ,18005 ,18484 ,18921 ,19321 ,19694 ,20054 ,20411 ,20766 ,21118 
아시아,대만,22277 ,22406 ,22521 ,22605 ,22689 ,22770 ,22877 ,22958 ,23037 ,23120 ,23162 ,23212 ,23256 
아시아,타지키스탄,6173 ,6233 ,6286 ,6337 ,6391 ,6453 ,6525 ,6604 ,6691 ,6783 ,6879 ,6977 ,7079 
아시아,태국,63155 ,63899 ,64643 ,65370 ,66060 ,66698 ,67276 ,67796 ,68268 ,68706 ,69122 ,69519 ,69892 
아시아,터키,63628 ,64545 ,65446 ,66339 ,67236 ,68143 ,69064 ,69993 ,70924 ,71846 ,72752 ,73640 ,74509 
아시아,투르크메니스탄,4501 ,4552 ,4600 ,4648 ,4697 ,4748 ,4802 ,4859 ,4918 ,4980 ,5042 ,5105 ,5170 
아시아,아랍에미리트,3033 ,3149 ,3255 ,3401 ,3658 ,4069 ,4663 ,5406 ,6207 ,6939 ,7512 ,7891 ,8106 
아시아,우즈베키스탄,24776 ,25043 ,25275 ,25489 ,25708 ,25947 ,26214 ,26504 ,26812 ,27128 ,27445 ,27760 ,28077 
아시아,베트남,78758 ,79630 ,80501 ,81377 ,82263 ,83161 ,84076 ,85007 ,85952 ,86901 ,87848 ,88792 ,89730 
아시아,예멘,17723 ,18266 ,18832 ,19420 ,20026 ,20649 ,21288 ,21947 ,22627 ,23328 ,24053 ,24800 ,25569 
북아메리카,캐나다,30667 ,30967 ,31282 ,31609 ,31944 ,32283 ,32628 ,32977 ,33328 ,33675 ,34017 ,34350 ,34675 
북아메리카,멕시코,99960 ,101330 ,102634 ,103903 ,105176 ,106484 ,107835 ,109221 ,110627 ,112033 ,113423 ,114793 ,116147 
북아메리카,미국,282496 ,285545 ,288467 ,291291 ,294063 ,296820 ,299564 ,302285 ,304989 ,307687 ,310384 ,313085 ,315791 
남아메리카,아르헨티나,36931 ,37302 ,37657 ,38001 ,38341 ,38681 ,39024 ,39368 ,39714 ,40062 ,40412 ,40765 ,41119 
남아메리카,바하마,298 ,302 ,306 ,310 ,315 ,319 ,324 ,329 ,334 ,338 ,343 ,347 ,351 
남아메리카,바베이도스,268 ,268 ,269 ,269 ,270 ,271 ,271 ,272 ,272 ,273 ,273 ,274 ,275 
남아메리카,벨리즈,251 ,257 ,263 ,269 ,275 ,281 ,287 ,293 ,299 ,305 ,312 ,318 ,324 
남아메리카,볼리비아,8307 ,8477 ,8647 ,8816 ,8983 ,9147 ,9307 ,9463 ,9618 ,9773 ,9930 ,10088 ,10248 
남아메리카,브라질,174425 ,176877 ,179289 ,181633 ,183873 ,185987 ,187958 ,189798 ,191543 ,193247 ,194946 ,196655 ,198361 
남아메리카,칠레,15420 ,15604 ,15784 ,15960 ,16132 ,16302 ,16469 ,16633 ,16796 ,16956 ,17114 ,17270 ,17423 
남아메리카,콜롬비아,39764 ,40423 ,41078 ,41732 ,42386 ,43041 ,43697 ,44352 ,45006 ,45654 ,46295 ,46927 ,47551 
남아메리카,코스타리카,3919 ,4003 ,4083 ,4160 ,4236 ,4309 ,4382 ,4453 ,4522 ,4591 ,4659 ,4727 ,4794 
남아메리카,쿠바,11104 ,11140 ,11175 ,11208 ,11235 ,11254 ,11265 ,11269 ,11267 ,11263 ,11258 ,11254 ,11249 
남아메리카,도미니카공화국,8592 ,8726 ,8861 ,8995 ,9130 ,9264 ,9398 ,9532 ,9665 ,9797 ,9927 ,10056 ,10183 
남아메리카,에콰도르,12345 ,12552 ,12767 ,12988 ,13209 ,13426 ,13640 ,13850 ,14057 ,14262 ,14465 ,14666 ,14865 
남아메리카,엘살바도르,5940 ,5966 ,5988 ,6009 ,6029 ,6051 ,6074 ,6101 ,6130 ,6160 ,6193 ,6227 ,6264 
남아메리카,프랑스령기아나,165 ,172 ,179 ,187 ,195 ,202 ,208 ,214 ,220 ,225 ,231 ,237 ,243 
남아메리카,과들루프,427 ,431 ,435 ,439 ,442 ,446 ,449 ,452 ,455 ,458 ,461 ,463 ,465 
남아메리카,과테말라,11237 ,11513 ,11800 ,12099 ,12405 ,12717 ,13035 ,13359 ,13691 ,14034 ,14389 ,14757 ,15138 
남아메리카,가이아나,733 ,735 ,738 ,741 ,744 ,746 ,748 ,750 ,752 ,753 ,754 ,756 ,758 
남아메리카,아이티,8645 ,8792 ,8935 ,9075 ,9213 ,9347 ,9479 ,9608 ,9736 ,9864 ,9993 ,10124 ,10256 
남아메리카,온두라스,6218 ,6347 ,6478 ,6609 ,6743 ,6879 ,7018 ,7159 ,7303 ,7450 ,7601 ,7755 ,7912 
남아메리카,자메이카,2582 ,2604 ,2626 ,2646 ,2665 ,2682 ,2696 ,2709 ,2720 ,2731 ,2741 ,2751 ,2761 
남아메리카,마르티니크,385 ,388 ,391 ,393 ,395 ,397 ,399 ,401 ,403 ,404 ,406 ,407 ,408 
남아메리카,앤틸리스,180 ,180 ,180 ,182 ,184 ,186 ,189 ,192 ,195 ,198 ,201 ,203 ,205 
남아메리카,니카라과,5074 ,5149 ,5220 ,5288 ,5356 ,5424 ,5494 ,5564 ,5636 ,5710 ,5788 ,5870 ,5955 
남아메리카,파나마,2956 ,3013 ,3069 ,3126 ,3182 ,3238 ,3295 ,3351 ,3406 ,3462 ,3517 ,3571 ,3625 
남아메리카,파라과이,5344 ,5454 ,5565 ,5676 ,5787 ,5898 ,6009 ,6119 ,6230 ,6342 ,6455 ,6568 ,6683 
